ref_bacen;nu_ordem;cnpj_if;dt_emissao;dt_vencimento;cd_inst_credito;cd_categ_emitente;cd_fonte_recurso;cnpj_agente_invest;cd_estado;cd_ref_bacen_investimento;cd_tipo_seguro;cd_empreendimento;cd_programa;cd_tipo_encarg_financ;cd_tipo_irrigacao;cd_tipo_agricultura;cd_fase_ciclo_producao;cd_tipo_cultivo;cd_tipo_intgr_consor;cd_tipo_grao_semente;vl_aliq_proagro;vl_juros;vl_prestacao_investimento;vl_prev_prod;vl_quantidade;vl_receita_bruta_esperada;vl_parc_credito;vl_rec_proprio;vl_perc_risco_stn;vl_perc_risco_fundo_const;vl_rec_proprio_srv;vl_area_financ;cd_subprograma;vl_produtiv_obtida;dt_fim_colheita;dt_fim_plantio;dt_inic_colheita;dt_inic_plantio;vl_juros_enc_finan_posfix;vl_perc_custo_efet_total;cd_contrato_stn;cd_cnpj_cadastrante;vl_area_informada;cd_ciclo_cultivar;cd_tipo_solo;pc_bonus_car
517256577;1;79342069;2024-01-03;2024-10-13;5;3333;0201;;PR;;1;12015080000021;0050;9;01;7;22;00;2;8;10.00;8.00;;664.74;;797688.00;334999.58;;;;;110.75;;;2024-07-25;2024-03-05;2024-07-20;2024-03-01;;;;01181521;110.75;1;2;
517256578;1;92702067;2024-01-03;2026-01-02;3;2222;0431;;RS;;9;22311300000408;0050;9;00;0;57;00;0;0;;8.00;;117600.00;245.00;1293600.00;347410.00;;;;;49.04;;;;;;;;;2023041400145;;49.04;;;
517256579;1;00694389;2024-01-03;2024-10-15;5;2222;0403;;RS;;2;12012280000043;0001;9;04;0;22;00;2;3;5.00;6.00;;38.00;;133000.00;64600.00;0.00;;;24960.00;1.90;0001;;2024-04-26;2023-12-30;2024-03-26;2023-12-26;;6.59;2023756100475;02038232;1.90;;;
517256580;1;07237373;2024-01-03;2025-01-03;5;2222;0502;;AL;;9;22371300190408;0001;9;00;0;00;00;0;0;;4.00;;0.00;22.00;40000.00;40000.00;;0.00;50.00;;4.31;0001;;;;;;;4.00;;;4.31;;;
517256581;1;05276770;2024-01-03;2024-08-15;5;2222;0300;;PR;;2;12015080000021;0001;9;01;7;22;03;2;3;10.40;6.00;;53.60;;63033.60;34000.00;;;;16426.88;6.70;0001;;2024-06-16;2024-02-28;2024-06-16;2024-02-28;;34.73;2023133200475;01401771;6.70;1;3;
517256583;1;82065285;2024-01-03;2024-08-09;5;3333;0201;;PR;;1;12013560000021;0050;9;01;5;22;00;2;8;7.00;8.00;;177.60;;710400.00;335000.00;;;;;74.01;;;2024-06-10;2024-02-20;2024-05-31;2024-02-10;;;;01181521;74.01;3;3;
517256584;1;81723108;2024-01-03;2024-11-01;1;2222;0201;;PR;;2;12015080000021;0001;9;01;3;22;00;2;8;10.40;6.00;;92.41;;64688.19;41776.68;417.77;0.00;0.00;1572.09;11.24;0001;7.78;2024-09-01;2024-03-10;2024-07-01;2024-02-01;;;;;11.35;1;3;
517256586;1;00000000;2024-01-03;2024-12-25;1;3333;0430;;MG;;9;11251580048002;0999;9;00;0;00;00;0;8;;12.80;;;23171.00;;349991.00;0.00;0.00;0.00;;0.00;;;;;;;;14.36;;;0.00;;;
517256587;1;00000000;2024-01-03;2026-01-01;10;2222;0201;;MG;;9;22311300000408;0001;9;00;0;57;00;0;0;;6.00;;26898.70;62.00;196518.92;122110.86;0.00;0.00;0.00;;15.05;0001;;;;;;;6.20;;;15.05;;;
517256588;1;00000000;2024-01-03;2025-01-01;10;2222;0431;;MG;;9;22371300190408;0001;9;00;0;00;00;0;0;;4.00;;28396.36;13.00;67256.59;41011.39;0.00;0.00;0.00;;5.48;0001;;;;;;;4.40;2023001400474;;5.48;;;
